run,dna_fitness,protein_fitness,combined_fitness,first_best_gen,specs
run_1,0.5897435897435898,0.46153846153846156,0.5256410256410257,51,pop100_gen100_pc0.0_pm0.0_re0.0_tr0.0_ld0.0_FT_CT_NT
run_2,0.7307692307692307,0.6153846153846154,0.6730769230769231,499,pop100_gen500_pc0.0_pm0.0_re0.0_tr0.0_ld0.0_FT_CT_NT
run_3,0.782051282051282,0.7692307692307693,0.7756410256410257,902,pop100_gen1000_pc0.0_pm0.0_re0.0_tr0.0_ld0.0_FT_CT_NT
run_4,0.6282051282051282,0.5384615384615384,0.5833333333333333,94,pop100_gen100_pc0.6_pm0.05_re0.05_tr0.01_ld0.01_FT_CT_NT
run_5,0.6538461538461539,0.7692307692307693,0.7115384615384616,499,pop100_gen500_pc0.6_pm0.05_re0.05_tr0.01_ld0.01_FT_CT_NT
run_6,0.717948717948718,0.7692307692307693,0.7435897435897436,895,pop100_gen1000_pc0.6_pm0.05_re0.05_tr0.01_ld0.01_FT_CT_NT
run_7,0.8333333333333334,0.8076923076923077,0.8205128205128205,1867,pop100_gen2000_pc0.6_pm0.05_re0.05_tr0.01_ld0.01_FT_CT_NT
run_8,0.8205128205128205,0.8076923076923077,0.8141025641025641,1489,pop100_gen2000_pc0.0_pm0.0_re0.0_tr0.0_ld0.0_FT_CT_NT
run_9,0.7948717948717948,0.7692307692307693,0.782051282051282,90,pop500_gen100_pc0.0_pm0.0_re0.0_tr0.0_ld0.0_FT_CT_NT
run_10,0.7948717948717948,0.8846153846153846,0.8397435897435896,94,pop1000_gen100_pc0.0_pm0.0_re0.0_tr0.0_ld0.0_FT_CT_NT
run_11,0.8205128205128205,0.8846153846153846,0.8525641025641025,93,pop500_gen100_pc0.6_pm0.05_re0.05_tr0.01_ld0.01_FT_CT_NT
run_12,0.8717948717948718,0.9615384615384616,0.9166666666666667,97,pop1000_gen100_pc0.6_pm0.05_re0.05_tr0.01_ld0.01_FT_CT_NT
